Step,AgentID,Speed,VehicleType,Position
1662,321,25.2,Car,"(273461469, 273461466)"
1662,322,18.0,Motorcycle,"(281474610, 281474691)"
1662,323,10.8,Truck,236160006
1662,324,25.2,Car,"(281474691, 281474610)"
1662,325,14.4,Motorcycle,"(3376781934, 281474691)"
1663,313,14.4,Car,"(236160006, 236160072)"
1663,318,25.2,Car,"(236160072, 236160006)"
1663,319,14.4,Motorcycle,"(236160072, 267538595)"
1663,320,25.2,Truck,"(236160006, 236160072)"
1663,321,25.2,Car,"(273461469, 273461466)"
1663,322,21.6,Motorcycle,"(281474610, 281474691)"
1663,323,7.2,Truck,"(236160006, 236160072)"
1663,324,21.6,Car,"(281474691, 281474610)"
1663,325,10.8,Motorcycle,"(3376781934, 281474691)"
1664,313,18.0,Car,"(236160006, 236160072)"
1664,318,25.2,Car,"(236160072, 236160006)"
1664,319,18.0,Motorcycle,"(236160072, 267538595)"
1664,320,25.2,Truck,"(236160006, 236160072)"
1664,321,25.2,Car,"(273461469, 273461466)"
1664,322,25.2,Motorcycle,"(281474610, 281474691)"
1664,323,10.8,Truck,"(236160006, 236160072)"
1664,324,18.0,Car,"(281474691, 281474610)"
1664,325,7.2,Motorcycle,"(3376781934, 281474691)"
1665,313,14.4,Car,236160072
1665,318,25.2,Car,"(236160072, 236160006)"
1665,319,21.6,Motorcycle,"(236160072, 267538595)"
1665,320,25.2,Truck,"(236160006, 236160072)"
1665,321,25.2,Car,"(273461469, 273461466)"
1665,322,25.2,Motorcycle,"(281474610, 281474691)"
1665,323,14.4,Truck,"(236160006, 236160072)"
1665,324,21.6,Car,"(281474691, 281474610)"
1665,325,3.6,Motorcycle,"(3376781934, 281474691)"
1666,313,10.8,Car,"(236160072, 273461469)"
1666,318,25.2,Car,"(236160072, 236160006)"
1666,319,25.2,Motorcycle,"(236160072, 267538595)"
1666,320,25.2,Truck,"(236160006, 236160072)"
1666,321,25.2,Car,"(273461469, 273461466)"
1666,322,21.6,Motorcycle,"(281474610, 281474691)"
1666,323,18.0,Truck,"(236160006, 236160072)"
1666,324,18.0,Car,"(281474691, 281474610)"
1666,325,0.0,Motorcycle,"(3376781934, 281474691)"
1666,326,0.0,Car,"(273461469, 236160072)"
1667,313,7.2,Car,"(236160072, 273461469)"
1667,318,25.2,Car,"(236160072, 236160006)"
1667,319,25.2,Motorcycle,"(236160072, 267538595)"
1667,320,21.6,Truck,"(236160006, 236160072)"
1667,321,25.2,Car,"(273461469, 273461466)"
1667,322,18.0,Motorcycle,"(281474610, 281474691)"
1667,323,21.6,Truck,"(236160006, 236160072)"
1667,324,14.4,Car,281474610
1667,325,3.6,Motorcycle,281474691
1667,326,3.6,Car,"(273461469, 236160072)"
1668,313,10.8,Car,273461469
1668,318,25.2,Car,"(236160072, 236160006)"
1668,319,25.2,Motorcycle,"(236160072, 267538595)"
1668,320,18.0,Truck,"(236160006, 236160072)"
1668,321,25.2,Car,"(273461469, 273461466)"
1668,322,14.4,Motorcycle,"(281474610, 281474691)"
1668,323,25.2,Truck,"(236160006, 236160072)"
1668,324,10.8,Car,"(281474610, 236306981)"
1668,325,0.0,Motorcycle,"(281474691, 281474610)"
1668,326,7.2,Car,"(273461469, 236160072)"
1668,327,0.0,Car,"(236160072, 236160006)"
1669,313,7.2,Car,"(273461469, 273461466)"
1669,318,25.2,Car,"(236160072, 236160006)"
1669,319,25.2,Motorcycle,"(236160072, 267538595)"
1669,320,14.4,Truck,"(236160006, 236160072)"
1669,321,21.6,Car,"(273461469, 273461466)"
1669,322,10.8,Motorcycle,"(281474610, 281474691)"
1669,323,25.2,Truck,"(236160006, 236160072)"
1669,324,14.4,Car,"(281474610, 236306981)"
1669,325,3.6,Motorcycle,"(281474691, 281474610)"
1669,326,3.6,Car,"(273461469, 236160072)"
1669,327,3.6,Car,"(236160072, 236160006)"
1670,313,10.8,Car,"(273461469, 273461466)"
1670,318,25.2,Car,"(236160072, 236160006)"
1670,319,25.2,Motorcycle,"(236160072, 267538595)"
1670,320,18.0,Truck,"(236160006, 236160072)"
1670,321,18.0,Car,"(273461469, 273461466)"
1670,322,7.2,Motorcycle,"(281474610, 281474691)"
1670,323,25.2,Truck,"(236160006, 236160072)"
1670,324,18.0,Car,"(281474610, 236306981)"
1670,325,7.2,Motorcycle,"(281474691, 281474610)"
1670,326,0.0,Car,"(273461469, 236160072)"
